 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice
1,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:4,0,49950,0,49950,49950,49950,1018.5,623.5,1.128,1.128,0,49950,49950,49950,4
2,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:5,0,50244,0,50244,50244,50244,971.75,625.75,1.128,1.128,0,50244,50244,50244,5
3,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:6,0,50259,0,50259,50259,50259,928.25,629.75,1.128,1.128,0,50259,50259,50259,6
4,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:7,0,50186,0,50186,50186,50186,884,631.75,1.128,1.128,0,50186,50186,50186,7
5,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:8,0,50582,0,50582,50582,50582,844.333,634.167,1.128,1.128,0,50582,50582,50582,8
6,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:9,0,51474,0,51474,51474,51474,806.5,637.333,1.128,1.128,0,51474,51474,51474,9
7,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:10,0,51919,0,51919,51919,51919,770.833,641.333,1.128,1.128,0,51919,51919,51919,10
8,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:11,0,51976,0,51976,51976,51976,737.167,644,1.128,1.128,0,51976,51976,51976,11
9,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:12,0,52794,0,52794,52794,52794,705,646.167,1.128,1.128,0,52794,52794,52794,12
10,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:13,0,53072,0,53072,53072,53072,673.75,649.5,1.128,1.128,0,53072,53072,53072,13
11,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:14,0,53910,0,53910,53910,53910,644.5,652.5,1.128,1.128,0,53910,53910,53910,14
12,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:15,0,54202,0,54202,54202,54202,617.167,656.667,1.128,1.128,0,54202,54202,54202,15
13,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:16,0,54925,0,54925,54925,54925,592.333,660.833,1.128,1.128,0,54925,54925,54925,16
14,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:17,0,54509,0,54509,54509,54509,567.667,665.167,1.128,1.128,0,54509,54509,54509,17
15,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:18,0,53517,0,53517,53517,53517,544.167,670,1.128,1.128,0,53517,53517,53517,18
