 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
1,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:229,0,4844,0,4844,4844,4844,32.5,863.167,1.128,1.128,0,4844,4844,4844,229,1
2,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:230,0,4836,0,4836,4836,4836,139.5,846.5,1.128,1.128,0,4836,4836,4836,230,1
3,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:231,0,4842,0,4842,4842,4842,237.167,827.5,1.128,1.128,0,4842,4842,4842,231,1
4,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:232,0,4844,0,4844,4844,4844,330.5,808.833,1.128,1.128,0,4844,4844,4844,232,1
5,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:233,0,5269,0,5269,5269,5269,412.5,789.167,1.128,1.128,0,5269,5269,5269,233,1
6,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:234,0,5246,0,5246,5246,5246,489.833,767.833,1.128,1.128,0,5246,5246,5246,234,1
7,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:235,0,5166,0,5166,5166,5166,560.167,743.833,1.128,1.128,0,5166,5166,5166,235,1
8,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:236,0,5171,0,5171,5171,5171,626.5,716.5,1.128,1.128,0,5171,5171,5171,236,1
9,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:237,0,5234,0,5234,5234,5234,684,689.5,1.128,1.128,0,5234,5234,5234,237,1
10,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:238,0,5207,0,5207,5207,5207,741,660.5,1.128,1.128,0,5207,5207,5207,238,1
11,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:239,0,5122,0,5122,5122,5122,791.5,627.5,1.128,1.128,0,5122,5122,5122,239,1
12,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:240,0,5228,0,5228,5228,5228,836.667,593.667,1.128,1.128,0,5228,5228,5228,240,1
13,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:241,0,5231,0,5231,5231,5231,879.167,556.5,1.128,1.128,0,5231,5231,5231,241,1
14,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:242,0,5280,0,5280,5280,5280,917.625,515,1.128,1.128,0,5280,5280,5280,242,1
15,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:243,0,5127,0,5127,5127,5127,953.25,471.25,1.128,1.128,0,5127,5127,5127,243,1
16,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:244,0,5239,0,5239,5239,5239,985.375,425.125,1.128,1.128,0,5239,5239,5239,244,1
17,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:245,0,5147,0,5147,5147,5147,1014.75,374.5,1.128,1.128,0,5147,5147,5147,245,1
18,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:246,0,5273,0,5273,5273,5273,1043,319,1.128,1.128,0,5273,5273,5273,246,1
19,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:247,0,5269,0,5269,5269,5269,1067.5,259.25,1.128,1.128,0,5269,5269,5269,247,1
20,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:248,0,5168,0,5168,5168,5168,1092,195.5,1.128,1.128,0,5168,5168,5168,248,1
21,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:249,0,5325,0,5325,5325,5325,1111.833,127.5,1.128,1.128,0,5325,5325,5325,249,1
22,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:250,0,5273,0,5273,5273,5273,1132,53.5,1.128,1.128,0,5273,5273,5273,250,1
1,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:270,0,4695,0,4695,4695,4695,106.167,326.5,1.128,1.128,0,4695,4695,4695,270,2
2,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:271,0,4830,0,4830,4830,4830,204,266.5,1.128,1.128,0,4830,4830,4830,271,2
3,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:272,0,4994,0,4994,4994,4994,292.333,202.333,1.128,1.128,0,4994,4994,4994,272,2
4,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:273,0,5130,0,5130,5130,5130,373.5,133,1.128,1.128,0,5130,5130,5130,273,2
5,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:274,0,5062,0,5062,5062,5062,448.833,58.5,1.128,1.128,0,5062,5062,5062,274,2
1,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:324,0,4733,0,4733,4733,4733,216,329.75,1.128,1.128,0,4733,4733,4733,324,3
2,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_6_MMStack_Pos0.ome.tif:325,0,4730,0,4730,4730,4730,303,269.25,1.128,1.128,0,4730,4730,4730,325,3
