 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV_ID
1,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:1,0,26234,0,26234,26234,26234,345.9965054,1024.503671,0.121,0.121,0,300.359,26234,26234,1,1
2,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:2,0,25980,0,25980,25980,25980,366.2486373,1039.50352,0.121,0.121,0,297.451,25980,25980,2,1
3,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:3,0,26393,0,26393,26393,26393,388.500749,1054.503368,0.121,0.121,0,302.18,26393,26393,3,1
4,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:4,0,26025,0,26025,26025,26025,410.5005268,1071.250863,0.121,0.121,0,297.966,26025,26025,4,1
5,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:5,0,26664,0,26664,26664,26664,431.5003147,1090.250671,0.121,0.121,0,305.282,26664,26664,5,1
1,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:22,0,26639,0,26639,26639,26639,107.3353645,787.001397,0.121,0.121,0,304.996,26639,26639,22,2
2,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:28,0,26536,0,26536,26536,26536,283.9971316,838.1691045,0.121,0.121,0,303.817,26536,26536,28,2
3,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:29,0,26696,0,26696,26696,26696,311.5015267,846.4961232,0.121,0.121,0,305.649,26696,26696,29,2
4,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:32,0,26895,0,26895,26895,26895,390.6689514,877.6640327,0.121,0.121,0,307.927,26895,26895,32,2
5,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:33,0,27067,0,27067,27067,27067,415.9957984,889.0003668,0.121,0.121,0,309.896,27067,27067,33,2
1,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:34,0,26607,s,26607,26607,26607,222,831.75,1.128,1.128,0,26607,26607,26607,34,3
2,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:36,0,26367,0,26367,26367,26367,282,850.75,1.128,1.128,0,26367,26367,26367,36,3
3,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:39,0,26650,0,26650,26650,26650,369,884.25,1.128,1.128,0,26650,26650,26650,39,3
4,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:40,0,26375,0,26375,26375,26375,397.333,895.333,1.128,1.128,0,26375,26375,26375,40,3
1,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:159,0,27228,0,27228,27228,27228,637.875,903.25,1.128,1.128,0,27228,27228,27228,159,4
2,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:160,0,27734,0,27734,27734,27734,650.375,915.75,1.128,1.128,0,27734,27734,27734,160,4
3,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:161,0,27324,0,27324,27324,27324,661.25,929,1.128,1.128,0,27324,27324,27324,161,4
4,xslot_HCC1954_01_750uLhr_z35um_mov_1_MMStack_Pos0.ome.tif:162,0,27179,0,27179,27179,27179,673.125,941.75,1.128,1.128,0,27179,27179,27179,162,4
