 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:182,0,36683,0,36683,36683,36683,166,898,1.128,1.128,0,36683,36683,36683,182,1
2,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:183,0,36476,0,36476,36476,36476,202.5,908,1.128,1.128,0,36476,36476,36476,183,1
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:184,0,36677,0,36677,36677,36677,237.5,917.5,1.128,1.128,0,36677,36677,36677,184,1
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:186,0,36514,0,36514,36514,36514,306.75,940.5,1.128,1.128,0,36514,36514,36514,186,1
5,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:187,0,36502,0,36502,36502,36502,338.25,952.75,1.128,1.128,0,36502,36502,36502,187,1
6,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:188,0,36403,0,36403,36403,36403,370.25,964.5,1.128,1.128,0,36403,36403,36403,188,1
7,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:189,0,36528,0,36528,36528,36528,397.75,977.75,1.128,1.128,0,36528,36528,36528,189,1
8,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:190,0,37280,0,37280,37280,37280,428.75,991.25,1.128,1.128,0,37280,37280,37280,190,1
9,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:191,0,36553,0,36553,36553,36553,455,1006.5,1.128,1.128,0,36553,36553,36553,191,1
10,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:192,0,36992,0,36992,36992,36992,482.5,1021,1.128,1.128,0,36992,36992,36992,192,1
11,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:193,0,36294,0,36294,36294,36294,509,1037.5,1.128,1.128,0,36294,36294,36294,193,1
12,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:194,0,36810,0,36810,36810,36810,534,1053.5,1.128,1.128,0,36810,36810,36810,194,1
13,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:195,0,36574,0,36574,36574,36574,558,1071.167,1.128,1.128,0,36574,36574,36574,195,1
14,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:196,0,36932,0,36932,36932,36932,580,1090,1.128,1.128,0,36932,36932,36932,196,1
15,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:197,0,37284,0,37284,37284,37284,603,1109.833,1.128,1.128,0,37284,37284,37284,197,1
16,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:198,0,36974,0,36974,36974,36974,623.5,1131.333,1.128,1.128,0,36974,36974,36974,198,1
17,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:199,0,36452,0,36452,36452,36452,642.5,1151.833,1.128,1.128,0,36452,36452,36452,199,1
18,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:200,0,37121,0,37121,37121,37121,663.5,1175.5,1.128,1.128,0,37121,37121,37121,200,1
,,,,,,,,,,,,,,,,,
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:253,0,37501,0,37501,37501,37501,782.5,228.167,1.128,1.128,0,37501,37501,37501,253,2
2,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:254,0,37500,0,37500,37500,37500,800.833,209.833,1.128,1.128,0,37500,37500,37500,254,2
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:255,0,37342,0,37342,37342,37342,818.5,188.5,1.128,1.128,0,37342,37342,37342,255,2
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:256,0,37704,0,37704,37704,37704,831.833,168.5,1.128,1.128,0,37704,37704,37704,256,2
5,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:257,0,37384,0,37384,37384,37384,847.5,145.5,1.128,1.128,0,37384,37384,37384,257,2
6,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:258,0,38016,0,38016,38016,38016,864.167,124.167,1.128,1.128,0,38016,38016,38016,258,2
7,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:259,0,37849,0,37849,37849,37849,877.167,100.833,1.128,1.128,0,37849,37849,37849,259,2
8,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:260,0,38424,0,38424,38424,38424,891.167,76.5,1.128,1.128,0,38424,38424,38424,260,2
9,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:261,0,37864,0,37864,37864,37864,904.5,52.167,1.128,1.128,0,37864,37864,37864,261,2
10,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:262,0,37576,0,37576,37576,37576,917,25,1.128,1.128,0,37576,37576,37576,262,2
,,,,,,,,,,,,,,,,,
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:328,0,36335,0,36335,36335,36335,40.5,302.833,1.128,1.128,0,36335,36335,36335,328,3
