 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV_ID
1,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:239,0,41968,0,41968,41968,41968,366.5,926.5,1.128,1.128,0,41968,41968,41968,239,1
2,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:240,0,42131,0,42131,42131,42131,387.583,929.667,1.128,1.128,0,42131,42131,42131,240,1
3,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:241,0,42621,0,42621,42621,42621,408.083,933.167,1.128,1.128,0,42621,42621,42621,241,1
4,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:242,0,42339,0,42339,42339,42339,427.438,937.125,1.128,1.128,0,42339,42339,42339,242,1
5,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:243,0,42178,0,42178,42178,42178,446.812,941.125,1.128,1.128,0,42178,42178,42178,243,1
6,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:244,0,42952,0,42952,42952,42952,464.188,946.312,1.128,1.128,0,42952,42952,42952,244,1
7,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:245,0,42999,0,42999,42999,42999,481.812,950.062,1.128,1.128,0,42999,42999,42999,245,1
8,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:246,0,42828,0,42828,42828,42828,500.167,955.667,1.128,1.128,0,42828,42828,42828,246,1
1,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:227,0,43388,0,43388,43388,43388,124.667,764.167,1.128,1.128,0,43388,43388,43388,227,2
2,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:228,0,43582,0,43582,43582,43582,151.167,764,1.128,1.128,0,43582,43582,43582,228,2
3,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:232,0,43530,0,43530,43530,43530,248.333,759.833,1.128,1.128,0,43530,43530,43530,232,2
4,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:240,0,44322,0,44322,44322,44322,414.333,759,1.128,1.128,0,44322,44322,44322,240,2
5,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:241,0,44698,0,44698,44698,44698,432.833,758.167,1.128,1.128,0,44698,44698,44698,241,2
6,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:242,0,45062,0,45062,45062,45062,452.667,759.167,1.128,1.128,0,45062,45062,45062,242,2
7,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:245,0,44384,0,44384,44384,44384,503.75,759.667,1.128,1.128,0,44384,44384,44384,245,2
8,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:246,0,44387,0,44387,44387,44387,520.583,758.917,1.128,1.128,0,44387,44387,44387,246,2
9,xslot_BT747_03_750uLhr_z35um_mov_2_MMStack_Pos0.ome.tif:247,0,45095,0,45095,45095,45095,536.083,759.333,1.128,1.128,0,45095,45095,45095,247,2
