 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
1,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:394,0,4727,0,4727,4727,4727,47.5,617.833,1.128,1.128,0,4727,4727,4727,394,1
2,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:395,0,4849,0,4849,4849,4849,134.75,609.5,1.128,1.128,0,4849,4849,4849,395,
3,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:396,0,4858,0,4858,4858,4858,215,600.5,1.128,1.128,0,4858,4858,4858,396,
4,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:397,0,4852,0,4852,4852,4852,288.333,593.333,1.128,1.128,0,4852,4852,4852,397,
5,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:398,0,4931,0,4931,4931,4931,355.5,582.5,1.128,1.128,0,4931,4931,4931,398,
6,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:399,0,5019,0,5019,5019,5019,417.667,574.167,1.128,1.128,0,5019,5019,5019,399,
7,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:400,0,5033,0,5033,5033,5033,474.167,564,1.128,1.128,0,5033,5033,5033,400,
8,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:401,0,5184,0,5184,5184,5184,527.667,552.167,1.128,1.128,0,5184,5184,5184,401,
9,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:402,0,5343,0,5343,5343,5343,577.167,540.333,1.128,1.128,0,5343,5343,5343,402,
10,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:403,0,5274,0,5274,5274,5274,622.167,527.5,1.128,1.128,0,5274,5274,5274,403,
11,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:404,0,4951,0,4951,4951,4951,663.833,513.167,1.128,1.128,0,4951,4951,4951,404,
12,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:405,0,5016,0,5016,5016,5016,701.5,500.167,1.128,1.128,0,5016,5016,5016,405,
13,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:406,0,5016,0,5016,5016,5016,735.333,482.333,1.128,1.128,0,5016,5016,5016,406,
14,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:407,0,4942,0,4942,4942,4942,767.5,465.667,1.128,1.128,0,4942,4942,4942,407,
15,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:408,0,5126,0,5126,5126,5126,797.167,447,1.128,1.128,0,5126,5126,5126,408,
16,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:409,0,5092,0,5092,5092,5092,823.5,427.167,1.128,1.128,0,5092,5092,5092,409,
17,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:410,0,4659,0,4659,4659,4659,845.833,405.667,1.128,1.128,0,4659,4659,4659,410,
18,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:411,0,4955,0,4955,4955,4955,869.667,381.167,1.128,1.128,0,4955,4955,4955,411,
19,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:412,0,4839,0,4839,4839,4839,891.333,355.667,1.128,1.128,0,4839,4839,4839,412,
20,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:413,0,4831,0,4831,4831,4831,910.5,327.333,1.128,1.128,0,4831,4831,4831,413,
21,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:414,0,4794,0,4794,4794,4794,927.333,297.833,1.128,1.128,0,4794,4794,4794,414,
22,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:415,0,4944,0,4944,4944,4944,942.833,264.167,1.128,1.128,0,4944,4944,4944,415,
23,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:416,0,4770,0,4770,4770,4770,958,229.5,1.128,1.128,0,4770,4770,4770,416,
24,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:417,0,4678,0,4678,4678,4678,970,191.833,1.128,1.128,0,4678,4678,4678,417,
25,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:418,0,4467,0,4467,4467,4467,982.333,150.167,1.128,1.128,0,4467,4467,4467,418,
26,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:419,0,4627,0,4627,4627,4627,995.5,105.833,1.128,1.128,0,4627,4627,4627,419,
27,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:420,0,4540,0,4540,4540,4540,1006.833,55.833,1.128,1.128,0,4540,4540,4540,420,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:354,0,4428,0,4428,4428,4428,52.833,361,1.128,1.128,0,4428,4428,4428,354,
2,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:355,0,4406,0,4406,4406,4406,133.5,331.5,1.128,1.128,0,4406,4406,4406,355,
3,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:356,0,4370,0,4370,4370,4370,212.667,300.833,1.128,1.128,0,4370,4370,4370,356,
4,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:357,0,4414,0,4414,4414,4414,280.25,268.5,1.128,1.128,0,4414,4414,4414,357,
5,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:358,0,4389,0,4389,4389,4389,344.75,234.75,1.128,1.128,0,4389,4389,4389,358,
6,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:359,0,4434,0,4434,4434,4434,405.25,193.5,1.128,1.128,0,4434,4434,4434,359,
7,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:360,0,4498,0,4498,4498,4498,456.75,152.75,1.128,1.128,0,4498,4498,4498,360,
8,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:361,0,4275,0,4275,4275,4275,506.5,108.5,1.128,1.128,0,4275,4275,4275,361,
9,xslot_BT747_01_1500uLhr_z35um_mov_flush_adj_8_MMStack_Pos0.ome.tif:362,0,4329,0,4329,4329,4329,552.25,58.25,1.128,1.128,0,4329,4329,4329,362,
