 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
1,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:266,0,4655,0,4655,4655,4655,92.833,627.167,1.128,1.128,0,4655,4655,4655,266,1
2,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:267,0,4817,0,4817,4817,4817,179.167,621.167,1.128,1.128,0,4817,4817,4817,267,
3,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:268,0,4919,0,4919,4919,4919,257.5,614.5,1.128,1.128,0,4919,4919,4919,268,
4,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:269,0,4877,0,4877,4877,4877,330.167,608.833,1.128,1.128,0,4877,4877,4877,269,
5,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:270,0,4973,0,4973,4973,4973,397.167,601.833,1.128,1.128,0,4973,4973,4973,270,
6,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:271,0,4923,0,4923,4923,4923,458.5,594.167,1.128,1.128,0,4923,4923,4923,271,
7,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:272,0,5155,0,5155,5155,5155,515.5,588.167,1.128,1.128,0,5155,5155,5155,272,
8,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:273,0,5399,0,5399,5399,5399,567.167,578.833,1.128,1.128,0,5399,5399,5399,273,
9,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:274,0,5473,0,5473,5473,5473,615.167,570.167,1.128,1.128,0,5473,5473,5473,274,
10,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:275,0,5179,0,5179,5179,5179,660.5,559.833,1.128,1.128,0,5179,5179,5179,275,
11,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:276,0,4923,0,4923,4923,4923,699.833,551.833,1.128,1.128,0,4923,4923,4923,276,
12,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:277,0,5034,0,5034,5034,5034,738.167,540.833,1.128,1.128,0,5034,5034,5034,277,
13,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:278,0,4725,0,4725,4725,4725,774.5,529.167,1.128,1.128,0,4725,4725,4725,278,
14,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:279,0,4975,0,4975,4975,4975,804.833,519.167,1.128,1.128,0,4975,4975,4975,279,
15,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:280,0,4667,0,4667,4667,4667,835.833,505.5,1.128,1.128,0,4667,4667,4667,280,
16,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:281,0,4809,0,4809,4809,4809,862,492.5,1.128,1.128,0,4809,4809,4809,281,
17,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:282,0,4813,0,4813,4813,4813,888,479.5,1.128,1.128,0,4813,4813,4813,282,
18,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:283,0,4707,0,4707,4707,4707,911.5,462,1.128,1.128,0,4707,4707,4707,283,
19,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:284,0,4704,0,4704,4704,4704,933.5,445.5,1.128,1.128,0,4704,4704,4704,284,
20,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:285,0,4564,0,4564,4564,4564,953,424.5,1.128,1.128,0,4564,4564,4564,285,
21,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:286,0,4709,0,4709,4709,4709,971,405,1.128,1.128,0,4709,4709,4709,286,
22,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:287,0,4767,0,4767,4767,4767,989,385,1.128,1.128,0,4767,4767,4767,287,
23,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:288,0,4464,0,4464,4464,4464,1006,359.5,1.128,1.128,0,4464,4464,4464,288,
24,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:289,0,4720,0,4720,4720,4720,1020,336,1.128,1.128,0,4720,4720,4720,289,
25,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:290,0,4720,0,4720,4720,4720,1033.75,309.5,1.128,1.128,0,4720,4720,4720,290,
26,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:291,0,4521,0,4521,4521,4521,1044,280.75,1.128,1.128,0,4521,4521,4521,291,
27,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:292,0,4654,0,4654,4654,4654,1058.25,250.5,1.128,1.128,0,4654,4654,4654,292,
28,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:293,0,4542,0,4542,4542,4542,1066,216.5,1.128,1.128,0,4542,4542,4542,293,
29,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:294,0,4632,0,4632,4632,4632,1077,177.75,1.128,1.128,0,4632,4632,4632,294,
30,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:295,0,4808,0,4808,4808,4808,1086,137.75,1.128,1.128,0,4808,4808,4808,295,
31,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:296,0,4710,0,4710,4710,4710,1093.75,96.25,1.128,1.128,0,4710,4710,4710,296,
32,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:297,0,4563,0,4563,4563,4563,1100.25,47.75,1.128,1.128,0,4563,4563,4563,297,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:411,0,4816,0,4816,4816,4816,85.25,762.5,1.128,1.128,0,4816,4816,4816,411,2
2,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:412,0,4838,0,4838,4838,4838,168.5,768.75,1.128,1.128,0,4838,4838,4838,412,
3,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:413,0,4889,0,4889,4889,4889,246.75,776.25,1.128,1.128,0,4889,4889,4889,413,
4,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:414,0,4812,0,4812,4812,4812,319.25,785,1.128,1.128,0,4812,4812,4812,414,
5,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:415,0,5077,0,5077,5077,5077,383.5,792.75,1.128,1.128,0,5077,5077,5077,415,
6,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:416,0,4985,0,4985,4985,4985,444.5,804,1.128,1.128,0,4985,4985,4985,416,
7,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:417,0,5096,0,5096,5096,5096,499.5,814.5,1.128,1.128,0,5096,5096,5096,417,
8,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:418,0,5067,0,5067,5067,5067,550.5,826,1.128,1.128,0,5067,5067,5067,418,
9,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:419,0,5057,0,5057,5057,5057,599,839.5,1.128,1.128,0,5057,5057,5057,419,
